1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
31.48;33.46;59.86;46.25;29.58;23.52;28.4;26.85;46.29;31.04;50.53;33.25;43.37;27.39;42.48;28.33;39.1;19.78;16.39;24.05;26.97;39.1;20.95;143.6;39.34;25.82;23.27;23.23;19.01;17.83;17.09;12.95;11.34;12.28;62.35;16.49;52.28;32.77;48.01;40.94;43.11;40.78;39.71;28.23;26.24;32.74;12.28;17.45;7.85;13.55
36.39;38.17;88.08;56.09;38.11;29.01;33.6;30.92;57.43;44.78;94.75;30.02;76.76;42.41;70.2;34.66;38.5;20.14;16.37;26.05;37.94;58.08;20.17;1802.16;83.47;32.18;26.06;38.81;26.59;23.4;18.19;13.01;11.83;12.71;321.82;17.98;185.23;76.56;151.2;93.46;105.11;56.12;91.37;53.34;49.33;216.48;12.44;17.92;7.43;12.93
36.89;40.53;74.41;54.19;38.03;30.57;35.63;33.91;51.26;39.79;72.47;36.08;59.68;38.89;58.81;34.35;42.82;22.08;19.81;35.04;35.47;51.7;25.31;322.37;72.9;39.41;34.53;37.26;30;27.5;24.69;17.49;15.03;14.58;122.98;23.45;100.43;58.69;92.89;69.52;76.71;65.53;68.86;49.06;43.74;79.07;15.86;23.11;8.74;18.08
27.41;31.34;56.63;43.96;28.84;23;27.24;25.47;34.6;26.43;45.97;31.13;37.56;27.74;40.14;24.34;35.89;20.97;17.05;26.44;24.09;36.76;21.19;161.01;48.77;31.55;27.15;27.15;22.77;21.12;19.33;14.63;13.1;13.9;74.87;18.62;65.28;39.8;59.87;51.21;52.63;50.67;47.38;35.11;32.27;43.01;14.06;18.33;8.38;15.09
26.72;31.52;66.5;43.26;28.28;23.64;26.56;24.56;32.54;25.78;54.74;31.6;45.81;27.25;48.4;23.06;42.58;21.73;18.17;40.2;24.03;34.56;22.6;1250.37;129.1;48.16;33.14;29.02;25.33;22.99;19.34;13.66;12.25;13.22;274.81;19.56;144.75;76.06;138.07;112.23;110.77;71.68;98.53;42.94;45.63;53.74;12.84;17.26;7.6;13.88
34.56;40.88;79.14;49.5;34.75;30;33;29.09;42.78;34.62;75.27;35.8;59.41;37.6;69.49;29.59;46.87;25.28;22.01;44.36;31.47;44.95;29.1;393.04;108.68;51.76;39.55;36.96;30.75;27.95;24.21;16.29;15.33;15.36;191.27;24.37;140.8;74.38;133.54;99.78;103.17;80.12;86.97;56.92;51.58;74.21;13.56;18.53;8.65;15.64
17.09;24.05;60.04;40.34;23.07;20.92;19.05;20.81;20.21;13.26;38.73;28.07;28.19;20.79;36.91;15.17;45.94;16.39;15.31;22.24;14.56;23.38;15.29;183.74;47.46;32.88;28.44;25.86;21.18;19.27;16.22;10.62;8.01;12.36;76.99;17;69.18;41.88;74.06;56.13;41.48;57.37;45.73;31.25;39.53;32.83;8.71;16.75;5.1;14.35
23.63;29.53;70.01;39.26;23.45;20.06;20.56;22.45;19.87;17.91;43.67;27.96;30.81;24.48;44.24;17.57;42.5;19.89;17.99;30.63;17.71;23.71;22.12;239.57;70.58;41.93;30.31;27.56;24.46;21.19;18.65;12.36;11.12;11.92;126.53;17.59;105.27;48.7;95.33;67.59;66.28;58.72;62.9;41.39;39.77;38.78;11.13;14.12;7.09;11.99
33.35;41.75;141.14;63.05;42.34;23.17;33.99;32.74;27.11;26.38;85.78;41.05;63.16;42.16;93.59;21.23;93.33;23.73;25.14;56.36;23.04;33.94;26.89;478.45;104.74;56.4;37.77;41.44;34.35;28.93;33.6;14.92;13.64;15.85;137.85;26.45;229.8;91.17;138.51;121.4;93.67;107.6;119.48;62.55;50.91;63.04;11.57;17.48;7.66;15.66
33.46;45.33;123.9;59.92;41.82;28.24;34.27;29.99;37.63;30.41;79.92;45.35;62.12;41.07;84.28;28.55;79.05;32.75;28.28;61.83;28.74;44.41;32.35;1741.36;212.14;95.21;60.65;51.66;40.89;33.7;24.98;11.77;9.65;10.48;482.7;21;383.92;120.39;336.71;272.22;249.2;253.96;195.72;100.09;93.35;67.22;7.95;12.78;4.12;10.19
