"data";"workflow";"time"
"n10";"w177";37.8199999999985
"n10";"w181";55.2699999999985
"n10";"w191";26.5000000000017
"n10";"w188";30.0000000000017
"n10";"w186";27.3300000000017
"n10";"w190";26.4100000000017
"n10";"w187";30.8600000000017
"n10";"w192";33.6700000000017
"n10";"w185";26.7700000000017
"n10";"w189";32.5900000000017
"n10";"w199";52.7500000000019
"n10";"w196";114.950000000002
"n10";"w194";93.9500000000019
"n10";"w198";84.1700000000019
"n10";"w195";116.670000000002
"n10";"w200";49.8400000000019
"n10";"w193";94.8200000000019
"n10";"w197";44.0000000000019
"n10";"w207";33.0799999999971
"n10";"w204";38.5099999999971
"n10";"w202";34.3799999999971
"n10";"w206";32.1999999999971
"n10";"w203";36.6999999999971
"n10";"w208";39.9499999999971
"n10";"w201";36.1999999999971
"n10";"w205";33.6799999999971
"n10";"w215";25.8899999999994
"n10";"w212";55.5099999999994
"n10";"w210";36.3199999999994
"n10";"w214";33.3099999999994
"n10";"w211";50.7199999999994
"n10";"w216";35.1999999999994
"n10";"w209";48.1499999999994
"n10";"w213";24.5599999999994
"n10";"w223";19.1699999999999
"n10";"w220";25.1899999999999
"n10";"w218";21.0499999999999
"n10";"w222";18.1599999999999
"n10";"w219";24.8799999999999
"n10";"w224";25.0599999999999
"n10";"w217";24.3399999999999
"n10";"w221";19.7399999999999
"n10";"w231";52.31
"n10";"w228";110.58
"n10";"w226";82.7
"n10";"w230";92.87
"n10";"w227";101.69
"n10";"w232";52.17
"n10";"w225";98.33
"n10";"w229";45.44
"n10";"w23";28.9600000000001
"n10";"w20";55.8900000000001
"n10";"w18";37.8600000000001
"n10";"w22";34.8800000000001
"n10";"w19";47.6000000000001
"n10";"w24";34.5900000000001
"n10";"w17";32.2200000000001
"n10";"w21";55.0000000000001
"n10";"w239";36.840000000002
"n10";"w236";42.230000000002
"n10";"w234";38.060000000002
"n10";"w238";36.310000000002
"n10";"w235";41.550000000002
"n10";"w240";42.770000000002
"n10";"w233";39.440000000002
"n10";"w237";37.950000000002
"n10";"w247";34.4300000000015
"n10";"w244";65.5800000000015
"n10";"w242";44.7300000000015
"n10";"w246";46.1300000000015
"n10";"w243";61.4200000000015
"n10";"w248";39.0200000000015
"n10";"w241";52.6500000000015
"n10";"w245";32.2800000000015
"n10";"w255";25.0900000000006
"n10";"w252";27.9400000000006
"n10";"w250";25.6600000000006
"n10";"w254";24.9300000000006
"n10";"w251";27.5200000000006
"n10";"w256";30.2800000000006
"n10";"w249";25.5700000000006
"n10";"w253";25.6400000000006
"n10";"w263";48.5999999999981
"n10";"w260";109.749999999998
"n10";"w258";84.9399999999981
"n10";"w262";87.6799999999981
"n10";"w259";115.779999999998
"n10";"w264";53.2699999999981
"n10";"w257";85.5099999999981
"n10";"w261";43.6399999999981
"n10";"w271";31.94
"n10";"w268";37.37
"n10";"w266";33.45
"n10";"w270";31.54
"n10";"w267";37.48
"n10";"w272";43.7
"n10";"w265";34.76
"n10";"w269";32.79
"n10";"w279";24.8999999999997
"n10";"w276";51.5199999999997
"n10";"w274";33.2199999999997
"n10";"w278";31.6199999999997
